ingredient_key,ingredient_id,ingredient_name,ingredient_zh_name,ingredient_tags,recipe_id,recipe_key,recipe_name,recipe_zh_name,character_required,priority,foodtype,health,hunger,sanity,cooktime,recipe_requirement_text,example_combo_keys,example_combo_names,example_combo_zh_names,direct_required_ingredient_ids,result_scope
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,bunnystew,bunnystew,Bunny Stew,兔肉燉湯,,1,meat,20,37.5,5,0.5,肉類係數 > 0 且 < 1、冰凍係數 >= 2、不可放 不可食用,asparagus@together + batwing@together + ice@together + ice@together,Asparagus + Batilisk Wing + Ice + Ice,蘆筍 + 蝙蝠翅膀 + 冰 + 冰,,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,butterflymuffin_dst,butterflymuffin_dst,Butter Muffin,蝴蝶鬆餅,,1,veggie,20,37.5,5,2,蝴蝶翅膀 >= 1 或 月蛾翅膀 >= 1、不可放 肉類係數、蔬菜係數 >= 0.5,asparagus@together + asparagus@together + cave_banana@together + butterflywings@together,Asparagus + Asparagus + Banana + Butterfly Wings,蘆筍 + 蘆筍 + 香蕉 + 蝴蝶翅膀,butterflywings | moonbutterflywings,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,californiaroll_dst,californiaroll_dst,California Roll,加州卷,,20,meat,20,37.5,10,0.5,海帶葉 = 2、魚類係數 >= 1,asparagus@together + oceanfish_medium_4_inv + kelp_cooked + kelp_cooked,Asparagus + Black Catfish + Cooked Kelp Fronds + Cooked Kelp Fronds,蘆筍 + 黑鯰魚 + 熟海帶葉 + 熟海帶葉,kelp | kelp_cooked | kelp_dried,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,ceviche_dst,ceviche_dst,Ceviche,酸橘汁醃魚,,20,meat,20,25,5,0.5,魚類係數 >= 2、冰凍係數 > 0,asparagus@together + asparagus@together + oceanfish_medium_4_inv + oceanfish_medium_8_inv,Asparagus + Asparagus + Black Catfish + Ice Bream,蘆筍 + 蘆筍 + 黑鯰魚 + 冰鯛魚,,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,mashedpotatoes,mashedpotatoes,Creamy Potato Purée,奶油馬鈴薯泥,,20,veggie,20,37.5,33,1,馬鈴薯 > 1、大蒜 >= 1、不可放 肉類係數、不可放 不可食用,asparagus@together + garlic + potato + potato,Asparagus + Garlic + Potato + Potato,蘆筍 + 大蒜 + 馬鈴薯 + 馬鈴薯,garlic | garlic_cooked | potato | potato_cooked,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,dragonpie_dst,dragonpie_dst,Dragonpie,火龍果派,,1,veggie,40,75,5,2,火龍果 >= 1、不可放 肉類係數,asparagus@together + asparagus@together + cave_banana@together + dragonfruit@together,Asparagus + Asparagus + Banana + Dragon Fruit,蘆筍 + 蘆筍 + 香蕉 + 火龍果,dragonfruit | dragonfruit_cooked,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,potatotornado,potatotornado,Fancy Spiralled Tubers,螺旋薯塔,,10,veggie,3,37.5,15,0.75,馬鈴薯 >= 1、樹枝 >= 1、怪物係數 > 0 且 <= 1、不可放 肉類係數、不可食用 > 0 且 <= 2,asparagus@together + asparagus@together + potato + twigs@together,Asparagus + Asparagus + Potato + Twigs,蘆筍 + 蘆筍 + 馬鈴薯 + 樹枝,potato | potato_cooked | twigs,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,koalefig_trunk,koalefig_trunk,Fig-Stuffed Trunk,無花果釀象鼻,,40,meat,60,56.25,0,2,無尾象鼻 >= 1 或 冬象鼻 >= 1、無花果 >= 1,asparagus@together + asparagus@together + fig_cooked + trunk_summer@together,Asparagus + Asparagus + Cooked Fig + Koalefant Trunk,蘆筍 + 蘆筍 + 熟無花果 + 無尾象鼻,fig | fig_cooked | trunk_summer | trunk_summer_cooked | trunk_winter,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,figatoni,figatoni,Figatoni,無花果通心粉,,30,veggie,30,56.25,15,2,無花果 >= 1、蔬菜係數 >= 2、不可放 肉類係數,asparagus@together + asparagus@together + asparagus@together + fig_cooked,Asparagus + Asparagus + Asparagus + Cooked Fig,蘆筍 + 蘆筍 + 蘆筍 + 熟無花果,fig | fig_cooked,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,frognewton,frognewton,Figgy Frogwich,無花果蛙腿三明治,,1,meat,8,18.75,10,1,無花果 >= 1、蛙腿 >= 1,asparagus@together + asparagus@together + fig_cooked + froglegs_cooked@together,Asparagus + Asparagus + Cooked Fig + Cooked Frog Legs,蘆筍 + 蘆筍 + 熟無花果 + 熟蛙腿,fig | fig_cooked | froglegs | froglegs_cooked,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,figkabab,figkabab,Figkabab,無花果烤串,,30,meat,20,25,15,1,無花果 >= 1、樹枝 >= 1、肉類係數 >= 1、怪物係數 > 0 且 <= 1,asparagus@together + oceanfish_medium_4_inv + fig_cooked + twigs@together,Asparagus + Black Catfish + Cooked Fig + Twigs,蘆筍 + 黑鯰魚 + 熟無花果 + 樹枝,fig | fig_cooked | twigs,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,fishtacos_dst,fishtacos_dst,Fish Tacos,魚肉玉米餅,,10,meat,20,37.5,5,0.5,魚類係數 > 0、玉米 >= 1 或 爆米花魚 >= 1 或 玉米鱈魚 >= 1,asparagus@together + asparagus@together + oceanfish_small_3_inv + corn@together,Asparagus + Asparagus + Bitty Baitfish + Corn,蘆筍 + 蘆筍 + 小餌魚 + 玉米,corn | corn_cooked | oceanfish_medium_5_inv | oceanfish_small_5_inv,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,fishsticks_dst,fishsticks_dst,Fishsticks,魚排,,10,meat,40,37.5,5,2,魚類係數 > 0、樹枝 >= 1、不可食用 > 0、不可食用 > 0 且 <= 1,asparagus@together + asparagus@together + oceanfish_small_3_inv + twigs@together,Asparagus + Asparagus + Bitty Baitfish + Twigs,蘆筍 + 蘆筍 + 小餌魚 + 樹枝,twigs,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,flowersalad_dst,flowersalad_dst,Flower Salad,花沙拉,,10,veggie,40,12.5,5,0.5,仙人掌花 >= 1、蔬菜係數 >= 2、不可放 肉類係數、不可放 不可食用、不可放 蛋類係數、不可放 甜味係數、不可放 水果係數,asparagus@together + asparagus@together + asparagus@together + cactusflower@together,Asparagus + Asparagus + Asparagus + Cactus Flower,蘆筍 + 蘆筍 + 蘆筍 + 仙人掌花,cactusflower,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,frogglebunwich_dst,frogglebunwich_dst,Froggle Bunwich,蛙腿三明治,,1,meat,20,37.5,5,2,蛙腿 >= 1、蔬菜係數 >= 0.5,asparagus@together + asparagus@together + asparagus@together + froglegs_cooked@together,Asparagus + Asparagus + Asparagus + Cooked Frog Legs,蘆筍 + 蘆筍 + 蘆筍 + 熟蛙腿,froglegs | froglegs_cooked,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,frozenbananadaiquiri,frozenbananadaiquiri,Frozen Banana Daiquiri,冰香蕉代基里,,2,goodies,30,18.75,15,1,香蕉 >= 1、冰凍係數 >= 1、不可放 肉類係數、不可放 魚類係數,asparagus@together + asparagus@together + cave_banana@together + ice@together,Asparagus + Asparagus + Banana + Ice,蘆筍 + 蘆筍 + 香蕉 + 冰,cave_banana | cave_banana_cooked,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,guacamole_dst,guacamole_dst,Guacamole,酪梨醬,,10,meat,20,37.5,0,0.5,鼴鼠 >= 1、成熟石果 >= 1 或 仙人掌肉 >= 1、不可放 水果係數,asparagus@together + asparagus@together + cactusmeat@together + mole@together,Asparagus + Asparagus + Cactus Flesh + Moleworm,蘆筍 + 蘆筍 + 仙人掌肉 + 鼴鼠,cactusmeat | cactusmeat_cooked | mole | rock_avocado_fruit_ripe | rock_avocado_fruit_ripe_cooked,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,honeyham_dst,honeyham_dst,Honey Ham,蜜汁火腿,,2,meat,30,75,5,2,蜂蜜 >= 1、肉類係數 > 1.5、不可放 不可食用,asparagus@together + oceanfish_medium_4_inv + oceanfish_medium_4_inv + honey@together,Asparagus + Black Catfish + Black Catfish + Honey,蘆筍 + 黑鯰魚 + 黑鯰魚 + 蜂蜜,honey,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,honeynuggets_dst,honeynuggets_dst,Honey Nuggets,蜜汁肉塊,,2,meat,20,37.5,5,2,蜂蜜 >= 1、肉類係數 > 0 且 <= 1.5、不可放 不可食用,asparagus@together + asparagus@together + batwing@together + honey@together,Asparagus + Asparagus + Batilisk Wing + Honey,蘆筍 + 蘆筍 + 蝙蝠翅膀 + 蜂蜜,honey,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,leafymeatsouffle,leafymeatsouffle,Jelly Salad,果凍沙拉,,50,meat,0,37.5,50,2,葉肉 >= 2、甜味係數 >= 2,asparagus@together + plantmeat_cooked@together + plantmeat_cooked@together + royal_jelly,Asparagus + Cooked Leafy Meat + Cooked Leafy Meat + Royal Jelly,蘆筍 + 熟葉肉 + 熟葉肉 + 蜂王漿,plantmeat | plantmeat_cooked,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,jellybean,jellybean,Jellybeans,彩虹糖豆,,12,goodies,2,0,5,2.5,蜂王漿 >= 1、不可放 不可食用、不可放 怪物係數,asparagus@together + asparagus@together + asparagus@together + royal_jelly,Asparagus + Asparagus + Asparagus + Royal Jelly,蘆筍 + 蘆筍 + 蘆筍 + 蜂王漿,royal_jelly,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,kabobs_dst,kabobs_dst,Kabobs,肉串,,5,meat,3,37.5,5,2,肉類係數 > 0、樹枝 >= 1、怪物係數 > 0 且 <= 1、不可食用 > 0、不可食用 > 0 且 <= 1,asparagus@together + asparagus@together + batwing@together + twigs@together,Asparagus + Asparagus + Batilisk Wing + Twigs,蘆筍 + 蘆筍 + 蝙蝠翅膀 + 樹枝,twigs,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,leafloaf,leafloaf,Leafy Meatloaf,葉肉糕,,25,meat,8,37.5,5,2,葉肉 >= 2,asparagus@together + asparagus@together + plantmeat_cooked@together + plantmeat_cooked@together,Asparagus + Asparagus + Cooked Leafy Meat + Cooked Leafy Meat,蘆筍 + 蘆筍 + 熟葉肉 + 熟葉肉,plantmeat | plantmeat_cooked,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,mandrakesoup_dst,mandrakesoup_dst,Mandrake Soup,曼德拉草湯,,10,veggie,100,150,5,3,曼德拉草 >= 1,asparagus@together + asparagus@together + asparagus@together + mandrake@together,Asparagus + Asparagus + Asparagus + Mandrake,蘆筍 + 蘆筍 + 蘆筍 + 曼德拉草,mandrake,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,meatballs_dst,meatballs_dst,Meatballs,肉丸,,-1,meat,3,62.5,5,0.75,肉類係數 > 0、不可放 不可食用,asparagus@together + asparagus@together + asparagus@together + batwing@together,Asparagus + Asparagus + Asparagus + Batilisk Wing,蘆筍 + 蘆筍 + 蘆筍 + 蝙蝠翅膀,,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,bonestew_dst,bonestew_dst,Meaty Stew,肉湯,,0,meat,12,150,5,0.75,肉類係數 >= 3、不可放 不可食用,asparagus@together + oceanfish_medium_4_inv + plantmeat_cooked@together + meat_cooked@together,Asparagus + Black Catfish + Cooked Leafy Meat + Cooked Meat,蘆筍 + 黑鯰魚 + 熟葉肉 + 熟肉,,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,batnosehat,batnosehat,Milkmade Hat,奶香帽,,55,,0,187.5,-5.32,2,裸露鼻孔 >= 1、海帶葉 >= 1、乳製係數 >= 1,asparagus@together + butter@together + kelp + batnose,Asparagus + Butter + Kelp Fronds + Naked Nostrils,蘆筍 + 奶油 + 海帶葉 + 裸露鼻孔,batnose | batnose_cooked | kelp | kelp_cooked | kelp_dried,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,monsterlasagna_dst,monsterlasagna_dst,Monster Lasagna,怪物千層麵,,10,meat,-20,37.5,-20,0.5,怪物係數 >= 2、不可放 不可食用,asparagus@together + asparagus@together + monstermeat_cooked@together + monstermeat_cooked@together,Asparagus + Asparagus + Cooked Monster Meat + Cooked Monster Meat,蘆筍 + 蘆筍 + 熟怪物肉 + 熟怪物肉,,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,perogies_dst,perogies_dst,Pierogi,波蘭餃子,,5,meat,40,37.5,5,1,蛋類係數 > 0、肉類係數 > 0、蔬菜係數 >= 0.5、不可放 不可食用,asparagus@together + asparagus@together + batwing@together + bird_egg_cooked@together,Asparagus + Asparagus + Batilisk Wing + Cooked Egg,蘆筍 + 蘆筍 + 蝙蝠翅膀 + 熟蛋,,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,justeggs,justeggs,Plain Omelette,純煎蛋,,0,meat,3,50,5,0.5,蛋類係數 >= 3,asparagus@together + asparagus@together + butter@together + tallbirdegg_cooked@together,Asparagus + Asparagus + Butter + Fried Tallbird Egg,蘆筍 + 蘆筍 + 奶油 + 煎高腳鳥蛋,,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,powcake_dst,powcake_dst,Powdercake,粉末蛋糕,,10,veggie,-3,0,0,0.5,樹枝 >= 1、蜂蜜 >= 1、玉米 >= 1 或 爆米花魚 >= 1 或 玉米鱈魚 >= 1,asparagus@together + corn@together + honey@together + twigs@together,Asparagus + Corn + Honey + Twigs,蘆筍 + 玉米 + 蜂蜜 + 樹枝,corn | corn_cooked | honey | oceanfish_medium_5_inv | oceanfish_small_5_inv | twigs,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,pumpkincookie_dst,pumpkincookie_dst,Pumpkin Cookie,南瓜餅乾,,10,veggie,0,37.5,15,2,南瓜 >= 1、甜味係數 >= 2,asparagus@together + boneshard + pumpkin_cooked@together + royal_jelly,Asparagus + Bone Shards + Hot Pumpkin + Royal Jelly,蘆筍 + 骨頭碎片 + 熱南瓜 + 蜂王漿,pumpkin | pumpkin_cooked,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,ratatouille_dst,ratatouille_dst,Ratatouille,蔬菜雜燴,,0,veggie,3,25,5,1,不可放 肉類係數、蔬菜係數 >= 0.5、不可放 不可食用,asparagus@together + asparagus@together + cave_banana@together + berries@together,Asparagus + Asparagus + Banana + Berries,蘆筍 + 蘆筍 + 香蕉 + 漿果,,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,salsa,salsa,Salsa Fresca,莎莎醬,,20,veggie,30,25,33,0.5,番茄根 >= 1、洋蔥 >= 1、不可放 肉類係數、不可放 蛋類係數、不可放 不可食用,asparagus@together + asparagus@together + onion + tomato_cooked,Asparagus + Asparagus + Onion + Roasted Toma Root,蘆筍 + 蘆筍 + 洋蔥 + 烤番茄根,onion | onion_cooked | tomato | tomato_cooked,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,seafoodgumbo_dst,seafoodgumbo_dst,Seafood Gumbo,海鮮濃湯,,10,meat,40,37.5,20,1,魚類係數 > 2,asparagus@together + oceanfish_small_3_inv + oceanfish_medium_4_inv + eel_cooked@together,Asparagus + Bitty Baitfish + Black Catfish + Cooked Eel,蘆筍 + 小餌魚 + 黑鯰魚 + 熟鰻魚,,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,hotchili_dst,hotchili_dst,Spicy Chili,辣椒燉肉,,10,meat,20,37.5,0,0.5,肉類係數 >= 1.5、蔬菜係數 >= 1.5,asparagus@together + asparagus@together + batwing@together + oceanfish_medium_4_inv,Asparagus + Asparagus + Batilisk Wing + Black Catfish,蘆筍 + 蘆筍 + 蝙蝠翅膀 + 黑鯰魚,,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,beefalofeed,beefalofeed,Steamed Twigs,蒸樹枝,,-5,roughage,15,100,0,0.5,不可食用 > 0、不可放 怪物係數、不可放 肉類係數、不可放 魚類係數、不可放 蛋類係數、不可放 油脂係數、不可放 乳製係數、不可放 魔法係數,asparagus@together + asparagus@together + asparagus@together + boneshard,Asparagus + Asparagus + Asparagus + Bone Shards,蘆筍 + 蘆筍 + 蘆筍 + 骨頭碎片,,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,stuffedeggplant_dst,stuffedeggplant_dst,Stuffed Eggplant,釀茄子,,1,veggie,3,37.5,5,2,茄子 >= 1、蔬菜係數 > 1,asparagus@together + asparagus@together + batwing@together + eggplant_cooked@together,Asparagus + Asparagus + Batilisk Wing + Braised Eggplant,蘆筍 + 蘆筍 + 蝙蝠翅膀 + 烤茄子,eggplant | eggplant_cooked,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,barnaclestuffedfishhead,barnaclestuffedfishhead,Stuffed Fish Heads,釀魚頭,,26,meat,20,75,0,2,藤壺 >= 1、魚類係數 >= 1.25,asparagus@together + asparagus@together + barnacle + oceanfish_medium_4_inv,Asparagus + Asparagus + Barnacles + Black Catfish,蘆筍 + 蘆筍 + 藤壺 + 黑鯰魚,barnacle | barnacle_cooked,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,pepperpopper,pepperpopper,Stuffed Pepper Poppers,釀辣椒,,20,meat,30,25,-5,2,辣椒 >= 1、肉類係數 > 0 且 <= 1.5、不可放 不可食用,asparagus@together + asparagus@together + batwing@together + pepper,Asparagus + Asparagus + Batilisk Wing + Pepper,蘆筍 + 蘆筍 + 蝙蝠翅膀 + 辣椒,pepper | pepper_cooked,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,surfnturf_dst,surfnturf_dst,Surf 'n' Turf,海陸大餐,,30,meat,60,37.5,33,1,肉類係數 >= 2.5、魚類係數 >= 1.5、不可放 冰凍係數,asparagus@together + batwing@together + oceanfish_medium_4_inv + oceanfish_medium_4_inv,Asparagus + Batilisk Wing + Black Catfish + Black Catfish,蘆筍 + 蝙蝠翅膀 + 黑鯰魚 + 黑鯰魚,,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,taffy_dst,taffy_dst,Taffy,太妃糖,,10,goodies,-3,25,15,2,甜味係數 >= 3、不可放 肉類係數,asparagus@together + asparagus@together + boneshard + royal_jelly,Asparagus + Asparagus + Bone Shards + Royal Jelly,蘆筍 + 蘆筍 + 骨頭碎片 + 蜂王漿,,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,talleggs,talleggs,Tall Scotch Eggs,高腳鳥蘇格蘭蛋,,10,meat,60,150,5,2,高腳鳥蛋 >= 1、蔬菜係數 >= 1,asparagus@together + asparagus@together + asparagus@together + tallbirdegg@together,Asparagus + Asparagus + Asparagus + Tallbird Egg,蘆筍 + 蘆筍 + 蘆筍 + 高腳鳥蛋,tallbirdegg | tallbirdegg_cooked,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,turkeydinner_dst,turkeydinner_dst,Turkey Dinner,火雞大餐,,10,meat,20,75,5,3,雞腿 > 1、肉類係數 > 1、蔬菜係數 >= 0.5 或 水果係數 > 0,asparagus@together + batwing@together + drumstick@together + drumstick@together,Asparagus + Batilisk Wing + Drumstick + Drumstick,蘆筍 + 蝙蝠翅膀 + 雞腿 + 雞腿,drumstick | drumstick_cooked,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,unagi_dst,unagi_dst,Unagi,鰻魚料理,,20,veggie,20,18.75,5,0.5,苔蘚 >= 1 或 海帶葉 >= 1、鰻魚 >= 1 或 活鰻魚 >= 1,asparagus@together + asparagus@together + eel_cooked@together + kelp_cooked,Asparagus + Asparagus + Cooked Eel + Cooked Kelp Fronds,蘆筍 + 蘆筍 + 熟鰻魚 + 熟海帶葉,cutlichen | eel | eel_cooked | kelp | kelp_cooked | kelp_dried | pondeel,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,vegstinger,vegstinger,Vegetable Stinger,蔬菜雞尾酒,,15,veggie,3,25,33,0.5,蘆筍 >= 1 或 番茄根 >= 1、蔬菜係數 > 2、冰凍係數 > 0、不可放 肉類係數、不可放 不可食用、不可放 蛋類係數,asparagus@together + asparagus@together + asparagus@together + ice@together,Asparagus + Asparagus + Asparagus + Ice,蘆筍 + 蘆筍 + 蘆筍 + 冰,asparagus | asparagus_cooked | tomato | tomato_cooked,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,leafymeatburger,leafymeatburger,Veggie Burger,葉肉漢堡,,26,meat,30,37.5,33,2,葉肉 >= 1、洋蔥 >= 1、蔬菜係數 >= 2,asparagus@together + asparagus@together + plantmeat_cooked@together + onion,Asparagus + Asparagus + Cooked Leafy Meat + Onion,蘆筍 + 蘆筍 + 熟葉肉 + 洋蔥,onion | onion_cooked | plantmeat | plantmeat_cooked,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,waffles_dst,waffles_dst,Waffles,華夫餅,,10,veggie,60,37.5,5,0.5,奶油 >= 1、漿果 >= 1、蛋類係數 > 0,asparagus@together + berries@together + butter@together + bird_egg_cooked@together,Asparagus + Berries + Butter + Cooked Egg,蘆筍 + 漿果 + 奶油 + 熟蛋,berries | berries_cooked | berries_juicy | berries_juicy_cooked | butter,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,lobsterbisque_dst,lobsterbisque_dst,Wobster Bisque,龍蝦濃湯,,30,meat,60,25,10,0.5,龍蝦 >= 1、冰凍係數 > 0,asparagus@together + asparagus@together + ice@together + wobster,Asparagus + Asparagus + Ice + Wobster,蘆筍 + 蘆筍 + 冰 + 龍蝦,wobster,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,lobsterdinner_dst,lobsterdinner_dst,Wobster Dinner,龍蝦晚餐,,25,meat,60,37.5,50,1,龍蝦 >= 1、奶油 >= 1、肉類係數 >= 1、魚類係數 >= 1、不可放 冰凍係數,asparagus@together + asparagus@together + butter@together + wobster,Asparagus + Asparagus + Butter + Wobster,蘆筍 + 蘆筍 + 奶油 + 龍蝦,butter | wobster,standard
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,gazpacho,gazpacho,Asparagazpacho,蘆筍冷湯,Warly,30,veggie,3,25,10,0.5,蘆筍 >= 2、冰凍係數 >= 2,asparagus@together + asparagus@together + ice@together + ice@together,Asparagus + Asparagus + Ice + Ice,蘆筍 + 蘆筍 + 冰 + 冰,asparagus | asparagus_cooked,warly
asparagus@together,asparagus,Asparagus,蘆筍,veggie=1,bonesoup,bonesoup,Bone Bouillon,骨頭清湯,Warly,30,meat,32,150,5,2,骨頭碎片 = 2、洋蔥 >= 1、不可食用 > 0 且 < 3,asparagus@together + boneshard + boneshard + onion,Asparagus + Bone Shards + Bone Shards + Onion,蘆筍 + 骨頭碎片 + 骨頭碎片 + 洋蔥,boneshard | onion | onion_cooked,warly
